id,refseq,gene,chrom,start,end
NP_001136018,NP_001136018,LUZP1,1,23410516,23504301
NP_001095867,NP_001095867,HNRNPR,1,23630264,23670829
NP_001095868,NP_001095868,HNRNPR,1,23630264,23670829
NP_003189,NP_003189,TCEB3,1,24069645,24088549
NP_009191,NP_009191,LYPLA2,1,24117460,24122029
NP_000394,NP_000394,GALE,1,24122089,24127271
NP_000182,NP_000182,HMGCL,1,24128375,24165110
NP_000138,NP_000138,FUCA1,1,24171567,24194784
NP_005830,NP_005830,SRRM1,1,24958207,24999758
NP_039234,NP_039234,CLIC4,1,25071848,25170815
NP_005554,NP_005554,STMN1,1,26210672,26233482
NP_112576,NP_112576,SH3BGRL3,1,26605667,26608007
NP_005508,NP_005508,HMGN2,1,26798941,26802463
NP_001006666,NP_001006666,RPS6KA1,1,26856252,26901521
NP_006006,NP_006006,ARID1A,1,27022524,27108595
NP_006133,NP_006133,SFN,1,27189633,27190947
NP_006591,NP_006591,NUDC,1,27226729,27273353
NP_005239,NP_005239,FGR,1,27938575,27961788
NP_803173,NP_803173,STX12,1,28099694,28150963
NP_002937,NP_002937,RPA2,1,28218035,28241257
NP_055289,NP_055289,SMPDL3B,1,28261504,28285668
NP_055095,NP_055095,DNAJC8,1,28525967,28559536
NP_057395,NP_057395,ATPIF1,1,28562620,28573417
NP_001260,NP_001260,RCC1,1,28832455,28865812
NP_001166599,NP_001166599,YTHDF2,1,29063133,29096287
NP_001159477,NP_001159477,EPB41,1,29213603,29446553
NP_055491,NP_055491,PUM1,1,31404353,31538838
NP_001018494,NP_001018494,PUM1,1,31404353,31538838
NP_004093,NP_004093,FABP3,1,31838472,31849697
NP_036524,NP_036524,PEF1,1,32095463,32110497
NP_536316,NP_536316,PTP4A2,1,32372022,32410457
NP_006550,NP_006550,KHDRBS1,1,32479430,32526451
NP_036448,NP_036448,KPNA6,1,32573639,32642169
NP_787048,NP_787048,TXLNA,1,32645287,32663886
NP_004955,NP_004955,HDAC1,1,32757687,32799236
NP_075385,NP_075385,MARCKSL1,1,32799433,32801980
NP_060515,NP_060515,BSDC1,1,32830704,32860332
NP_005601,NP_005601,RBBP4,1,33116743,33151812
NP_003671,NP_003671,YARS,1,33240840,33283754
NP_001616,NP_001616,AK2,1,33473585,33546597
NP_005057,NP_005057,SFPQ,1,35641979,35658749
NP_005086,NP_005086,ZMYM4,1,35734568,35887659
NP_001014839,NP_001014839,NCDN,1,36023074,36032875
NP_060295,NP_060295,ADPRHL2,1,36554476,36559533
NP_055223,NP_055223,TRAPPC3,1,36602173,36615098
NP_060537,NP_060537,MAP7D1,1,36621180,36646450
NP_005110,NP_005110,THRAP3,1,36690017,36770958
NP_112570,NP_112570,MRPS15,1,36921319,36930038
NP_037417,NP_037417,GNL2,1,38032417,38061536
NP_006793,NP_006793,SF3A3,1,38422647,38456593
NP_004459,NP_004459,FHL3,1,38462442,38471278
NP_036465,NP_036465,MYCBP,1,39328636,39347289
NP_004543,NP_004543,NDUFS5,1,39491990,39500308
NP_036222,NP_036222,MACF1,1,39546988,39952849
NP_003810,NP_003810,PABPC4,1,40026488,40042462
NP_001129125,NP_001129125,PABPC4,1,40026488,40042462
NP_006103,NP_006103,PPIE,1,40157854,40229586
NP_006358,NP_006358,CAP1,1,40505905,40538321
NP_000301,NP_000301,PPT1,1,40538379,40563375
NP_005848,NP_005848,ZMPSTE24,1,40723779,40759856
NP_078940,NP_078940,PPCS,1,42921788,42939056
NP_006338,NP_006338,PPIH,1,43124096,43142429
NP_071751,NP_071751,LEPRE1,1,43212006,43232755
NP_006507,NP_006507,SLC2A1,1,43391052,43424530
NP_006815,NP_006815,EBNA1BP2,1,43629846,43736607
NP_569707,NP_569707,PTPRF,1,43990858,44089343
NP_001003,NP_001003,RPS8,1,45240923,45244451
NP_065098,NP_065098,EIF2B3,1,45316450,45452282
NP_000365,NP_000365,UROD,1,45477819,45481247
NP_002565,NP_002565,PRDX1,1,45976708,45988719
NP_006057,NP_006057,AKR1A1,1,46016215,46035721
NP_002473,NP_002473,NASP,1,46049518,46084566
NP_073582,NP_073582,ATPAF1,1,47098409,47139539
NP_008982,NP_008982,FAF1,1,50905150,51425935
NP_001972,NP_001972,EPS15,1,51819935,51985000
NP_001095132,NP_001095132,NRD1,1,52254863,52344477
NP_056997,NP_056997,TXNDC12,1,52485803,52521843
NP_689478,NP_689478,BTF3L4,1,52521797,52556388
NP_056511,NP_056511,GPX7,1,53068044,53074723
NP_002970,NP_002970,SCP2,1,53392901,53517375
NP_000089,NP_000089,CPT2,1,53662101,53679869
NP_057575,NP_057575,MRPL37,1,54649714,54691137
NP_055577,NP_055577,DHCR24,1,55315306,55352891
NP_056121,NP_056121,USP24,1,55532032,55680786
NP_000553,NP_000553,C8A,1,57320479,57383894
NP_000057,NP_000057,C8B,1,57394883,57431813
NP_002344,NP_002344,TACSTD2,1,59041099,59043166
NP_056972,NP_056972,HOOK1,1,60280458,60342050
NP_001138983,NP_001138983,NFIA,1,61330931,61928465
NP_212132,NP_212132,DOCK7,1,62920399,63153969
NP_002624,NP_002624,PGM1,1,64058947,64125916
NP_001018077,NP_001018077,SERBP1,1,67873493,67896098
NP_056455,NP_056455,SERBP1,1,67873493,67896098
NP_061329,NP_061329,GNG12,1,68167149,68299150
NP_060238,NP_060238,LRRC40,1,70610488,70671303
NP_001123514,NP_001123514,CRYZ,1,75171170,75199092
NP_000007,NP_000007,ACADM,1,76190036,76253260
NP_653174,NP_653174,NEXN,1,78354198,78409580
NP_003893,NP_003893,FUBP1,1,78409740,78444794
NP_002722,NP_002722,PRKACB,1,84543745,84704181
NP_891993,NP_891993,PRKACB,1,84543745,84704181
NP_036269,NP_036269,DDAH1,1,85784164,86043933
NP_057093,NP_057093,SH3GLB1,1,87170259,87213867
NP_001505,NP_001505,GTF2B,1,89318615,89357627
NP_001008662,NP_001008662,CCBL2,1,89401456,89458636
NP_060754,NP_060754,GBP3,1,89472349,89488577
NP_002044,NP_002044,GBP1,1,89518002,89531043
NP_004111,NP_004111,GBP2,1,89571815,89616139
NP_443173,NP_443173,GBP4,1,89646831,89664615
NP_001127958,NP_001127958,GBP5,1,89724633,89738544
NP_892021,NP_892021,ZNF326,1,90460671,90501090
NP_057124,NP_057124,TMED5,1,93615299,93646285
NP_001020119,NP_001020119,FNBP1L,1,93913688,94020218
NP_055412,NP_055412,DNTTIP2,1,94333373,94345474
NP_002052,NP_002052,GCLM,1,94350761,94374966
NP_002849,NP_002849,ABCD3,1,94883933,94984222
NP_001830,NP_001830,CNN3,1,95362507,95392834
NP_000101,NP_000101,DPYD,1,97543299,98386605
NP_000633,NP_000633,AGL,1,100315640,100389579
NP_001909,NP_001909,DBT,1,100652475,100715390
NP_001069,NP_001069,VCAM1,1,101185298,101204601
NP_542196,NP_542196,COL11A1,1,103342023,103574052
NP_037518,NP_037518,SLC25A24,1,108676658,108743471
NP_009200,NP_009200,STXBP3,1,109289296,109352148
NP_006504,NP_006504,SARS,1,109756540,109780791
NP_001399,NP_001399,CELSR2,1,109792641,109818372
NP_002950,NP_002950,SORT1,1,109852192,109940573
NP_002781,NP_002781,PSMA5,1,109941653,109969062
NP_006487,NP_006487,GNAI3,1,110091233,110136975
NP_004028,NP_004028,AMPD2,1,110158726,110174673
NP_000841,NP_000841,GSTM4,1,110198703,110208118
NP_000839,NP_000839,GSTM2,1,110210644,110252171
NP_000552,NP_000552,GSTM1,1,110230436,110251661
NP_000842,NP_000842,GSTM5,1,110254864,110318050
NP_000840,NP_000840,GSTM3,1,110276554,110284384
NP_006612,NP_006612,AHCYL1,1,110527308,110566357
NP_073605,NP_073605,RBM15,1,110881128,110889299
NP_077007,NP_077007,WDR77,1,111982512,111991998
NP_001679,NP_001679,ATP5F1,1,111991486,112005395
NP_002875,NP_002875,RAP1A,1,112084840,112259313
NP_006126,NP_006126,CAPZA1,1,113161795,113214241
NP_001123551,NP_001123551,MOV10,1,113215763,113243368
NP_001036144,NP_001036144,RHOC,1,113243728,113250056
NP_001159968,NP_001159968,SLC16A1,1,113454469,113499635
NP_064575,NP_064575,OLFML3,1,114522063,114524876
NP_148980,NP_148980,TRIM33,1,114935399,115053781
NP_056990,NP_056990,TRIM33,1,114935399,115053781
NP_002515,NP_002515,NRAS,1,115247090,115259515
NP_009089,NP_009089,CSDE1,1,115259534,115301297
NP_620409,NP_620409,VANGL1,1,116184574,116240845
NP_001153705,NP_001153705,ATP1A1,1,116915290,116952883
NP_065173,NP_065173,PTGFRN,1,117452679,117532980
NP_006775,NP_006775,WDR3,1,118472343,118509165
NP_056651,NP_056651,WARS2,1,119573839,119683294
NP_006614,NP_006614,PHGDH,1,120202421,120286838
NP_001002811,NP_001002811,PDE4DIP,1,144836157,145076186
NP_003837,NP_003837,PEX11B,1,145516252,145523730
NP_006459,NP_006459,POLR3C,1,145592605,145611025
NP_112182,NP_112182,ANP32E,1,150190717,150208504
NP_004689,NP_004689,PRPF3,1,150293925,150325671
NP_079426,NP_079426,TARS2,1,150459887,150480078
NP_004416,NP_004416,ECM1,1,150480538,150486265
NP_996927,NP_996927,ENSA,1,150573327,150602088
NP_060648,NP_060648,GOLPH3L,1,150618701,150669630
NP_004070,NP_004070,CTSS,1,150702672,150738433
NP_000387,NP_000387,CTSK,1,150768684,150780799
NP_067045,NP_067045,PRUNE,1,150980896,151008189
NP_002801,NP_002801,PSMD4,1,151227179,151239955
NP_003935,NP_003935,SELENBP1,1,151336778,151345209
NP_002787,NP_002787,PSMB4,1,151372010,151374420
NP_065821,NP_065821,CGN,1,151482986,151511168
NP_113608,NP_113608,MRPL9,1,151732119,151736040
NP_002957,NP_002957,S100A10,1,151955391,151966866
NP_005611,NP_005611,S100A11,1,152004982,152020383
NP_002956,NP_002956,S100A9,1,153330330,153333503
NP_002955,NP_002955,S100A8,1,153362508,153363664
NP_055439,NP_055439,S100A6,1,153507075,153508720
NP_062427,NP_062427,S100A4,1,153516089,153522612
NP_005969,NP_005969,S100A2,1,153533584,153540366
NP_525127,NP_525127,S100A16,1,153579362,153585621
NP_065723,NP_065723,S100A14,1,153586731,153589462
NP_005970,NP_005970,S100A13,1,153591263,153606568
NP_006262,NP_006262,S100A1,1,153600402,153604513
NP_004506,NP_004506,ILF2,1,153634512,153643524
NP_075391,NP_075391,INTS3,1,153700543,153746555
NP_077306,NP_077306,SLC27A3,1,153746830,153752633
NP_065750,NP_065750,GATAD2B,1,153777201,153895451
NP_001021,NP_001021,RPS27,1,153963235,153964626
NP_001036817,NP_001036817,TPM3,1,154127784,154167124
NP_689476,NP_689476,TPM3,1,154127784,154167124
NP_705935,NP_705935,TPM3,1,154127784,154167124
NP_001120792,NP_001120792,UBAP2L,1,154192655,154243986
NP_055662,NP_055662,UBAP2L,1,154192655,154243986
NP_001102,NP_001102,ADAR,1,154554538,154600475
NP_056656,NP_056656,ADAR,1,154554538,154600475
NP_006547,NP_006547,PMVK,1,154897210,154909467
NP_065385,NP_065385,PBXIP1,1,154916552,154928599
NP_003020,NP_003020,SHC1,1,154934774,154946871
NP_958800,NP_958800,FLAD1,1,154955814,154965587
NP_001191215,NP_001191215,MUC1,1,155158300,155162707
NP_009043,NP_009043,THBS3,1,155165379,155178842
NP_002446,NP_002446,MTX1,1,155178490,155183615
NP_001165282,NP_001165282,GBA,1,155204243,155214490
NP_870986,NP_870986,PKLR,1,155259630,155271225
NP_001129294,NP_001129294,FDPS,1,155278539,155290457
NP_004623,NP_004623,DAP3,1,155657751,155708801
NP_004714,NP_004714,ARHGEF2,1,155916630,155976861
NP_733821,NP_733821,LMNA,1,156052364,156109880
NP_005563,NP_005563,LMNA,1,156052364,156109880
NP_733822,NP_733822,LMNA,1,156052364,156109880
NP_005989,NP_005989,CCT3,1,156278759,156337664
NP_839943,NP_839943,IQGAP3,1,156495197,156542396
NP_658985,NP_658985,APOA1BP,1,156561554,156564091
NP_006608,NP_006608,NES,1,156638555,156647189
NP_001869,NP_001869,CRABP2,1,156669398,156675608
NP_078816,NP_078816,MRPL24,1,156707095,156711382
NP_004485,NP_004485,HDGF,1,156711899,156736717
NP_003117,NP_003117,SPTA1,1,158580496,158656488
NP_002423,NP_002423,MNDA,1,158801107,158819296
NP_945146,NP_945146,PYHIN1,1,158900586,158946844
NP_005522,NP_005522,IFI16,1,158969758,159024945
NP_001193496,NP_001193496,IFI16,1,158969758,159024945
NP_001630,NP_001630,APCS,1,159557615,159558655
NP_000558,NP_000558,CRP,1,159682079,159684379
NP_060293,NP_060293,DUSP23,1,159750722,159752333
NP_003555,NP_003555,TAGLN2,1,159887897,159895522
NP_000693,NP_000693,ATP1A2,1,160085549,160113381
NP_653300,NP_653300,ATP1A4,1,160121360,160156767
NP_003759,NP_003759,PEA15,1,160175127,160185166
NP_001091868,NP_001091868,COPA,1,160259063,160313190
NP_004362,NP_004362,COPA,1,160259063,160313190
NP_065068,NP_065068,VANGL2,1,160370376,160398468
NP_058642,NP_058642,F11R,1,160965001,160991138
NP_001172023,NP_001172023,NIT1,1,161087876,161095235
NP_057490,NP_057490,UFC1,1,161122566,161128646
NP_000300,NP_000300,PPOX,1,161136200,161147803
NP_004097,NP_004097,FCER1G,1,161185024,161190489
NP_001634,NP_001634,APOA2,1,161192082,161193421
NP_002992,NP_002992,SDHC,1,161284047,161332984
NP_002146,NP_002146,HSPA6,1,161494036,161496681
NP_001191890,NP_001191890,PBX1,1,164524821,164868533
NP_000687,NP_000687,ALDH9A1,1,165631453,165668100
NP_061899,NP_061899,TMCO1,1,165696032,165796992
NP_690866,NP_690866,TIPRL,1,168148171,168169950
NP_001928,NP_001928,DPT,1,168664697,168698502
NP_001668,NP_001668,ATP1B1,1,169074935,169101960
NP_004896,NP_004896,PRDX6,1,173446405,173457946
NP_060592,NP_060592,DARS2,1,173793641,173827684
NP_000479,NP_000479,SERPINC1,1,173872947,173886516
NP_055227,NP_055227,CACYBP,1,174968300,174980851
NP_056417,NP_056417,TOR1AIP1,1,179851177,179894135
NP_002817,NP_002817,QSOX1,1,180123969,180173165
NP_004727,NP_004727,XPR1,1,180601140,180859387
NP_001028228,NP_001028228,GLUL,1,182350839,182361341
NP_001348,NP_001348,DHX9,1,182808504,182856886
NP_002284,NP_002284,LAMC1,1,182992595,183114727
NP_005553,NP_005553,LAMC2,1,183155373,183214035
NP_000424,NP_000424,NCF2,1,183524698,183560011
NP_005708,NP_005708,ARPC5,1,183592401,183604892
NP_443198,NP_443198,FAM129A,1,184759858,184943682
NP_114141,NP_114141,HMCN1,1,185703683,186160085
NP_003283,NP_003283,TPR,1,186280784,186344825
NP_001186191,NP_001186191,UCHL5,1,192981380,193029237
NP_057068,NP_057068,UCHL5,1,192981380,193029237
NP_001166995,NP_001166995,TROVE2,1,193028552,193060907
NP_078805,NP_078805,CDC73,1,193091147,193223031
NP_000177,NP_000177,CFH,1,196621008,196716634
NP_001160096,NP_001160096,CFHR3,1,196743925,196763203
NP_002104,NP_002104,CFHR1,1,196788887,196801319
NP_005657,NP_005657,CFHR2,1,196788898,196928356
NP_110414,NP_110414,CFHR5,1,196946667,196978804
NP_598001,NP_598001,NEK7,1,198126093,198291550
NP_563578,NP_563578,PTPRC,1,198607801,198726545
NP_005549,NP_005549,LAD1,1,201342372,201368736
NP_004069,NP_004069,CSRP1,1,201452658,201478584
NP_060555,NP_060555,IPO9,1,201798269,201853422
NP_064601,NP_064601,RNPEP,1,201951500,201975275
NP_620150,NP_620150,ARL8A,1,202102532,202113869
NP_057327,NP_057327,CYB5R1,1,202930997,202936408
NP_001267,NP_001267,CHI3L1,1,203148059,203155877
NP_002014,NP_002014,FMOD,1,203309756,203320617
NP_002716,NP_002716,PRELP,1,203444956,203460480
NP_001675,NP_001675,ATP2B4,1,203595689,203713209
NP_001001396,NP_001001396,ATP2B4,1,203595689,203713209
NP_055642,NP_055642,ZC3H11A,1,203764782,203823252
NP_073568,NP_073568,NUCKS1,1,205681947,205719404
NP_000706,NP_000706,C4BPA,1,207277607,207318317
NP_001108224,NP_001108224,CD55,1,207494853,207534311
NP_758861,NP_758861,CD46,1,207925402,207968858
NP_758871,NP_758871,CD46,1,207925402,207968858
NP_001017402,NP_001017402,LAMB3,1,209788215,209825811
NP_060724,NP_060724,RCOR3,1,211431719,211489727
NP_006234,NP_006234,PPP2R5A,1,212458879,212535200
NP_037481,NP_037481,NENF,1,212606229,212619714
NP_004437,NP_004437,EPRS,1,220141943,220220000
NP_006076,NP_006076,BPNT1,1,220230824,220263804
NP_060530,NP_060530,IARS2,1,220267444,220321380
NP_001739,NP_001739,CAPN2,1,223889295,223963720
NP_054903,NP_054903,CNIH4,1,224544552,224567161
NP_002287,NP_002287,LBR,1,225589204,225616627
NP_001008493,NP_001008493,ENAH,1,225674537,225840844
NP_060682,NP_060682,ENAH,1,225674537,225840844
NP_003124,NP_003124,SRP9,1,225965531,225978168
NP_000111,NP_000111,EPHX1,1,225997794,226033260
NP_037460,NP_037460,PYCR2,1,226107578,226111978
NP_001609,NP_001609,PARP1,1,226548392,226595780
NP_003598,NP_003598,CDC42BPA,1,227177566,227506175
NP_001649,NP_001649,ARF1,1,228270361,228286912
NP_001152862,NP_001152862,GUK1,1,228327663,228336685
NP_003484,NP_003484,HIST3H3,1,228612546,228613026
NP_004569,NP_004569,RAB4A,1,229406822,229441641
NP_001091,NP_001091,ACTA1,1,229566992,229569845
NP_060700,NP_060700,NUP133,1,229577045,229644103
NP_004472,NP_004472,GALNT2,1,230193536,230417870
NP_031383,NP_031383,COG2,1,230778235,230829728
NP_000020,NP_000020,AGT,1,230838269,230850043
NP_055051,NP_055051,GNPAT,1,231376953,231413719
NP_071334,NP_071334,EGLN1,1,231499497,231560790
NP_005990,NP_005990,TSNAX,1,231664399,231702270
NP_892017,NP_892017,IRF2BP2,1,234740015,234745271
NP_001070865,NP_001070865,IRF2BP2,1,234740015,234745271
NP_055829,NP_055829,RBM34,1,235294498,235324772
NP_001032354,NP_001032354,GGPS1,1,235490665,235507847
NP_002499,NP_002499,NID1,1,236139130,236228462
NP_060542,NP_060542,HEATR1,1,236712305,236767804
NP_001094,NP_001094,ACTN2,1,236849754,236927931
NP_000134,NP_000134,FH,1,241660903,241683061
NP_055627,NP_055627,CEP170,1,243287730,243418650
NP_001117,NP_001117,ADSS,1,244571796,244615436
NP_004492,NP_004492,HNRNPU,1,245014468,245027844
NP_114032,NP_114032,HNRNPU,1,245014468,245027844
NP_057086,NP_057086,SCCPDH,1,246887349,246931439
NP_009030,NP_009030,ACP1,2,264140,278283
NP_004291,NP_004291,ACP1,2,264140,278283
NP_036425,NP_036425,PXDN,2,1635659,1748624
NP_060739,NP_060739,ADI1,2,3501132,3523507
NP_057291,NP_057291,CPSF3,2,9563697,9613230
NP_001034702,NP_001034702,IAH1,2,9613787,9636672
NP_003174,NP_003174,ADAM17,2,9628615,9695921
NP_006817,NP_006817,YWHAQ,2,9724101,9771143
NP_602293,NP_602293,HPCAL1,2,10443015,10567743
NP_079170,NP_079170,NOL10,2,10710892,10830101
NP_005733,NP_005733,PDIA6,2,10923517,10978103
NP_004841,NP_004841,ROCK2,2,11319887,11488456
NP_004930,NP_004930,DDX1,2,15731302,15771235
NP_110424,NP_110424,FAM49A,2,16730727,16847599
NP_065956,NP_065956,RDH14,2,18735989,18741946
NP_056132,NP_056132,PUM2,2,20448452,20551995
NP_004031,NP_004031,RHOB,2,20646835,20649200
NP_000375,NP_000375,APOB,2,21224301,21266945
NP_671713,NP_671713,TP53I3,2,24300303,24308731
NP_000173,NP_000173,HADHA,2,26413504,26467594
NP_000174,NP_000174,HADHB,2,26466038,26513336
NP_008977,NP_008977,EMILIN1,2,27301435,27309271
NP_004332,NP_004332,CAD,2,27440258,27466811
NP_002428,NP_002428,MPV17,2,27532360,27548547
NP_115810,NP_115810,ZNF512,2,27805897,27858041
NP_002700,NP_002700,PPP1CB,2,28974506,29025806
NP_055415,NP_055415,EHD3,2,31456880,31492313
NP_057039,NP_057039,MEMO1,2,32090129,32236299
NP_057336,NP_057336,BIRC6,2,32582096,32843966
NP_001159738,NP_001159738,LTBP1,2,33172039,33624576
NP_996826,NP_996826,LTBP1,2,33172039,33624576
NP_002750,NP_002750,EIF2AK2,2,37326353,37384208
NP_620156,NP_620156,GALM,2,38893052,38968379
NP_061936,NP_061936,EML4,2,42396490,42559688
NP_065795,NP_065795,MTA3,2,42721709,42984087
NP_573566,NP_573566,LRPPRC,2,44113647,44223144
NP_036381,NP_036381,RHOQ,2,46768945,46810260
NP_000242,NP_000242,MSH2,2,47630108,47789450
NP_000170,NP_000170,MSH6,2,47922669,48037240
NP_003119,NP_003119,SPTBN1,2,54683422,54896812
NP_842565,NP_842565,SPTBN1,2,54683422,54896812
NP_997403,NP_997403,RTN4,2,55199325,55339757
NP_722550,NP_722550,RTN4,2,55199325,55339757
NP_065393,NP_065393,RTN4,2,55199325,55339757
NP_008939,NP_008939,RTN4,2,55199325,55339757
NP_001005369,NP_001005369,MTIF2,2,55463731,55496483
NP_001116436,NP_001116436,SMEK2,2,55774428,55846015
NP_149100,NP_149100,PNPT1,2,55861400,55921045
NP_001034438,NP_001034438,EFEMP1,2,56093102,56151274
NP_003391,NP_003391,XPO1,2,61704984,61765761
NP_006421,NP_006421,CCT4,2,62095224,62115939
NP_001186040,NP_001186040,MDH1,2,63815743,63834331
NP_006750,NP_006750,UGP2,2,64068074,64118696
NP_005713,NP_005713,ACTR2,2,65454887,65498387
NP_002389,NP_002389,MEIS1,2,66660584,66801001
NP_002655,NP_002655,PLEK,2,68592305,68624585
NP_002047,NP_002047,GFPT1,2,69546905,69614382
NP_056515,NP_056515,NFU1,2,69622882,69664760
NP_055726,NP_055726,AAK1,2,69688532,69901481
NP_006187,NP_006187,PCBP1,2,70314585,70316332
NP_071505,NP_071505,TIA1,2,70436576,70475792
NP_057381,NP_057381,PCYOX1,2,70484518,70508323
NP_116211,NP_116211,FAM136A,2,70523107,70529222
NP_001683,NP_001683,ATP6V1B1,2,71163012,71192536
NP_060037,NP_060037,NAGK,2,71291474,71306935
NP_005782,NP_005782,MPHOSPH10,2,71357444,71377231
NP_001124458,NP_001124458,DYSF,2,71680852,71913898
NP_056004,NP_056004,EXOC6B,2,72403113,73053170
NP_003115,NP_003115,SPR,2,73114489,73119287
NP_006053,NP_006053,SMYD5,2,73441350,73454365
NP_006420,NP_006420,CCT7,2,73460548,73480149
NP_006454,NP_006454,STAMBP,2,74056086,74100786
NP_001186822,NP_001186822,ACTG2,2,74119441,74146992
NP_006627,NP_006627,MTHFD2,2,74425689,74444692
NP_001177765,NP_001177765,DCTN1,2,74588281,74619214
NP_001015055,NP_001015055,RTKN,2,74652963,74669549
NP_853553,NP_853553,AUP1,2,74753772,74757066
NP_037379,NP_037379,HTRA2,2,74756504,74760472
NP_000180,NP_000180,HK2,2,75061108,75120486
NP_055578,NP_055578,MRPL19,2,75873909,75917977
NP_004380,NP_004380,CTNNA2,2,79412357,80875905
NP_003840,NP_003840,SUCLG1,2,84650647,84687169
NP_006455,NP_006455,TGOLN2,2,85545147,85555548
NP_060220,NP_060220,RETSAT,2,85569211,85581743
NP_001738,NP_001738,CAPG,2,85621871,85645555
NP_005902,NP_005902,MAT2A,2,85766288,85772403
NP_003752,NP_003752,VAMP8,2,85788685,85809154
NP_006581,NP_006581,USP39,2,85829979,85876403
NP_001093639,NP_001093639,IMMT,2,86371055,86422893
NP_001093640,NP_001093640,IMMT,2,86371055,86422893
NP_653164,NP_653164,RPIA,2,88991162,89050452
NP_114108,NP_114108,MRPS5,2,95752952,95815179
NP_057128,NP_057128,FAHD2A,2,96068469,96082364
NP_110432,NP_110432,LMAN2L,2,97371666,97405801
NP_955368,NP_955368,FAHD2B,2,97749320,97760619
NP_001853,NP_001853,COX5B,2,98262503,98264846
NP_005726,NP_005726,ACTR1B,2,98272431,98280570
NP_056988,NP_056988,EIF5B,2,99953816,100017789
NP_076970,NP_076970,PDCL3,2,101179152,101193197
NP_001441,NP_001441,FHL2,2,105974169,106054970
NP_001004720,NP_001004720,NCK2,2,106361354,106510730
NP_001180413,NP_001180413,LIMS1,2,109150857,109303702
NP_001180414,NP_001180414,LIMS1,2,109150857,109303702
NP_006258,NP_006258,RANBP2,2,109335937,109402267
NP_653311,NP_653311,SEPT_10,2,110300559,110371783
NP_003457,NP_003457,PAX8,2,113973574,114036527
NP_005712,NP_005712,ACTR3,2,114647537,114720173
NP_006764,NP_006764,DDX18,2,118572226,118589955
NP_001073331,NP_001073331,DBI,2,120124497,120130126
NP_056097,NP_056097,CLASP1,2,122095352,122407163
NP_001193980,NP_001193980,CLASP1,2,122095352,122407163
NP_004613,NP_004613,TSN,2,122494679,122525429
NP_647598,NP_647598,BIN1,2,127805603,127864931
NP_001154876,NP_001154876,LIMS2,2,128395956,128439360
NP_997195,NP_997195,TUBA3E,2,130949318,130956034
NP_001165906,NP_001165906,RAB3GAP1,2,135809835,135933964
